Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,206.0,208.5,203.39999389648438,206.35000610351562,1116692,0,0
2021-08-18,208.0,208.0,203.14999389648438,205.89999389648438,1242325,0,0
2021-08-20,201.0,204.5500030517578,198.5,200.0500030517578,2650899,0,0
2021-08-23,202.0,203.6999969482422,192.4499969482422,194.0,1542994,0,0
2021-08-24,194.9499969482422,199.0,189.35000610351562,198.14999389648438,1868856,0,0
2021-08-25,198.14999389648438,200.85000610351562,195.39999389648438,197.85000610351562,1779237,0,0
2021-08-26,198.0,202.25,197.10000610351562,200.35000610351562,1827130,0,0
2021-08-27,200.6999969482422,203.85000610351562,198.25,202.35000610351562,1777711,0,0
2021-08-30,203.4499969482422,210.0,203.39999389648438,208.14999389648438,3323105,0,0
2021-08-31,208.14999389648438,210.8000030517578,207.39999389648438,208.10000610351562,1472771,0,0
2021-09-01,208.4499969482422,210.64999389648438,206.10000610351562,208.0,1791236,0,0
2021-09-02,208.0,220.85000610351562,208.0,218.6999969482422,5759274,0,0
2021-09-03,218.3000030517578,221.9499969482422,214.85000610351562,219.39999389648438,3515504,0,0
2021-09-06,220.5,221.3000030517578,216.39999389648438,216.8000030517578,1167166,0,0
2021-09-07,217.6999969482422,217.6999969482422,213.14999389648438,215.89999389648438,1589773,0,0
2021-09-08,217.0,218.89999389648438,212.5500030517578,214.5,1780625,0,0
2021-09-09,213.5,216.0,213.0,214.39999389648438,1407445,0,0
2021-09-13,215.0,219.0,214.0,215.89999389648438,2008026,0,0
2021-09-14,216.0,221.4499969482422,214.6999969482422,216.0500030517578,2448242,0,0
2021-09-15,216.8000030517578,221.0,216.3000030517578,219.64999389648438,1619338,0,0
2021-09-16,220.0,222.75,217.10000610351562,217.6999969482422,2752932,0,0
2021-09-17,218.5500030517578,219.5500030517578,210.25,212.10000610351562,2430251,0,0
