Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,720.8499755859375,722.7000122070312,702.2999877929688,711.2000122070312,1322535,0,0
2021-08-18,716.75,718.2999877929688,708.0499877929688,711.5,889277,0,0
2021-08-20,705.0,709.5499877929688,695.0,697.25,1300227,0,0
2021-08-23,703.2999877929688,703.4000244140625,675.2000122070312,680.5,1343726,0,0
2021-08-24,682.0,689.5,675.2999877929688,685.9500122070312,1058994,0,0
2021-08-25,689.9000244140625,691.7000122070312,674.4000244140625,675.3499755859375,1225409,0,0
2021-08-26,676.0,680.0,665.0,666.2999877929688,1170802,0,0
2021-08-27,667.0,684.0,666.9500122070312,682.8499755859375,968916,0,0
2021-08-30,688.0,696.0,683.6500244140625,694.0,1111996,0,0
2021-08-31,698.4000244140625,702.0,693.2000122070312,699.25,1122577,0,0
2021-09-01,701.0,716.4500122070312,700.0499877929688,712.0999755859375,923514,0,0
2021-09-02,712.0,721.75,708.9500122070312,720.2000122070312,696320,0,0
2021-09-03,725.0,727.6500244140625,718.25,721.6500244140625,1074765,0,0
2021-09-06,723.0999755859375,728.0,715.3499755859375,720.3499755859375,586708,0,0
2021-09-07,718.0,721.0,711.5499877929688,719.7000122070312,525753,0,0
2021-09-08,722.5,725.7000122070312,716.1500244140625,720.5999755859375,664405,0,0
2021-09-09,721.7999877929688,722.75,716.0499877929688,721.3499755859375,241783,0,0
2021-09-13,722.0,722.1500244140625,715.0,718.0499877929688,354405,0,0
2021-09-14,721.9000244140625,741.25,718.7000122070312,736.7000122070312,1928206,0,0
2021-09-15,740.7999877929688,745.0,736.25,742.25,1145566,0,0
2021-09-16,744.1500244140625,745.9500122070312,731.2999877929688,737.3499755859375,671545,0,0
2021-09-17,738.0,741.2000122070312,722.5,728.4500122070312,703895,0,0
