Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,759.0,760.0,749.2999877929688,756.75,5576110,0,0
2021-08-18,763.7999877929688,763.7999877929688,750.5,754.4000244140625,5370460,0,0
2021-08-20,745.7999877929688,749.0,736.2000122070312,740.25,6092036,0,0
2021-08-23,749.5,749.5,734.4000244140625,736.0999755859375,3614761,0,0
2021-08-24,736.0,749.7000122070312,731.5,746.3499755859375,4537435,0,0
2021-08-25,748.2000122070312,751.4500122070312,735.2000122070312,739.0499877929688,6726509,0,0
2021-08-26,734.0999755859375,750.0,732.3499755859375,746.3499755859375,6492155,0,0
2021-08-27,746.5,759.5999755859375,741.0,752.4000244140625,5841967,0,0
2021-08-30,756.0,789.5,754.0,784.0499877929688,12517507,0,0
2021-08-31,784.9000244140625,789.0,778.4000244140625,786.5,12114870,0,0
2021-09-01,798.0999755859375,819.0,795.4000244140625,798.9000244140625,19972195,0,0
2021-09-02,795.5,806.0999755859375,792.4000244140625,802.7000122070312,6799617,0,0
2021-09-03,804.5,809.9000244140625,787.7000122070312,798.0,7509746,0,0
2021-09-06,800.8499755859375,805.9000244140625,795.3499755859375,800.7999877929688,4539192,0,0
2021-09-07,798.0,799.4000244140625,782.0499877929688,787.8499755859375,6926921,0,0
2021-09-08,790.0,797.3499755859375,783.0,794.7000122070312,5903035,0,0
2021-09-09,789.0,793.7000122070312,784.2000122070312,790.1500244140625,4909325,0,0
2021-09-13,786.0,790.4500122070312,783.5,788.3499755859375,4814443,0,0
2021-09-14,791.0,801.0,790.0,794.4000244140625,6301208,0,0
2021-09-15,796.0,797.4500122070312,787.0,791.4000244140625,4075592,0,0
2021-09-16,792.5,807.4500122070312,789.0999755859375,802.5999755859375,15446511,0,0
2021-09-17,808.8499755859375,820.7000122070312,797.25,807.3499755859375,14641298,0,0
