Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,2279.0,2307.75,2263.199951171875,2301.89990234375,311819,0,0
2021-08-18,2312.0,2318.89990234375,2268.550048828125,2276.699951171875,595739,0,0
2021-08-20,2259.949951171875,2268.35009765625,2207.5,2236.199951171875,368653,0,0
2021-08-23,2244.699951171875,2298.0,2226.699951171875,2279.85009765625,468896,0,0
2021-08-24,2280.0,2327.0,2254.89990234375,2287.449951171875,214555,0,0
2021-08-25,2296.75,2350.0,2264.0,2275.0,667584,0,0
2021-08-26,2279.949951171875,2293.14990234375,2245.60009765625,2272.300048828125,195573,0,0
2021-08-27,2285.0,2304.449951171875,2266.5,2290.85009765625,424254,0,0
2021-08-30,2308.25,2317.5,2251.35009765625,2272.64990234375,502465,0,0
2021-08-31,2277.39990234375,2303.949951171875,2251.0,2294.89990234375,479245,0,0
2021-09-01,2298.800048828125,2337.0,2276.050048828125,2329.699951171875,326228,0,0
2021-09-02,2339.0,2409.0,2326.39990234375,2389.050048828125,773514,0,0
2021-09-03,2399.800048828125,2415.949951171875,2373.14990234375,2411.14990234375,282897,0,0
2021-09-06,2424.0,2461.89990234375,2413.14990234375,2454.14990234375,483625,0,0
2021-09-07,2454.0,2508.949951171875,2437.300048828125,2474.35009765625,581368,0,0
2021-09-08,2477.0,2484.0,2424.64990234375,2476.699951171875,300343,0,0
2021-09-09,2470.0,2496.35009765625,2442.0,2456.199951171875,201670,0,0
2021-09-13,2456.0,2460.0,2416.0,2448.60009765625,315006,0,0
2021-09-14,2460.0,2502.949951171875,2435.60009765625,2472.5,289098,0,0
2021-09-15,2472.0,2514.0,2470.0,2500.75,246814,0,0
2021-09-16,2515.0,2532.449951171875,2478.85009765625,2510.64990234375,178220,0,0
2021-09-17,2517.0,2524.0,2451.0,2490.10009765625,367766,0,0
