Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,1293.9457624791728,1311.931108984675,1291.447797686742,1302.4388427734375,151727,0.0,0
2021-08-18,1301.9392909879477,1313.929522370799,1296.5936705572813,1304.437255859375,142302,0.0,0
2021-08-20,1290.9481589324778,1298.9416459846914,1267.0675919698035,1285.15283203125,214190,0.0,0
2021-08-23,1296.6435151600347,1308.9335507223675,1286.8015582758899,1300.490478515625,169728,0.0,0
2021-08-24,1293.446124554146,1299.8908247061934,1271.963628086078,1287.8507080078125,110702,0.0,0
2021-08-25,1289.949058419355,1306.0359277823718,1289.949058419355,1299.4913330078125,101970,0.0,0
2021-08-26,1303.6378154781228,1316.7272485510714,1290.0489114182408,1296.893310546875,97562,0.0,0
2021-08-27,1296.8933514197995,1302.5387764158413,1277.3093312482645,1297.5428466796875,116220,0.0,0
2021-08-30,1303.9376240401684,1327.9180860914819,1299.9908884492647,1311.1317138671875,127065,0.0,0
2021-08-31,1302.9384810647703,1331.914873665137,1302.9384810647703,1321.3734130859375,99077,0.0,0
2021-09-01,1318.425870388257,1377.8774348354727,1313.9295335813247,1350.4498291015625,686686,0.0,0
2021-09-02,1356.8944435666567,1371.83222388824,1324.9204949700934,1336.26123046875,310426,0.0,0
2021-09-03,1339.2089852961042,1353.896970057428,1326.9189492518558,1343.255615234375,188033,0.0,0
2021-09-06,1349.900187655419,1366.3867554543192,1344.1548685739838,1351.7486572265625,221437,0.0,0
2021-09-07,1354.8961151003905,1359.8920447283417,1334.9123965885851,1343.6552734375,85458,0.0,0
2021-09-08,1343.8051748183348,1368.9846113379292,1334.013103965749,1340.2081298828125,278389,0.0,0
2021-09-09,1339.9083633827395,1348.4014439858367,1325.470175145851,1329.7666015625,81090,0.0,0
2021-09-13,1336.810833090474,1367.885490025575,1332.06470009002,1341.5069580078125,279362,0.0,0
2021-09-14,1347.6019551762613,1441.8252329806242,1342.6560338307095,1432.282958984375,1551014,0.0,0
2021-09-15,1438.5279627139996,1492.7838085604985,1414.8973125849589,1472.85009765625,1547682,0.0,0
2021-09-16,1475.050048828125,1494.0,1450.199951171875,1457.1500244140625,376686,1.2,0
2021-09-17,1457.1500244140625,1463.75,1391.0,1416.9000244140625,292749,0.0,0
