Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,245.10000610351562,250.89999389648438,240.0,243.39999389648438,92957,0,0
2021-08-18,242.5,245.89999389648438,240.14999389648438,241.5,47525,0,0
2021-08-20,238.5,244.0,237.9499969482422,240.9499969482422,54309,0,0
2021-08-23,242.1999969482422,246.5,228.25,229.8000030517578,74954,0,0
2021-08-24,234.0,240.89999389648438,230.0,239.25,31972,0,0
2021-08-25,239.9499969482422,245.0,239.8000030517578,243.0,55434,0,0
2021-08-26,242.9499969482422,243.39999389648438,235.64999389648438,236.6999969482422,35295,0,0
2021-08-27,239.6999969482422,248.0,237.0,244.35000610351562,72240,0,0
2021-08-30,244.3000030517578,251.0,242.64999389648438,245.10000610351562,70068,0,0
2021-08-31,246.89999389648438,248.1999969482422,239.10000610351562,240.9499969482422,33260,0,0
2021-09-01,242.0,243.6999969482422,237.0,237.9499969482422,37478,0,0
2021-09-02,239.39999389648438,254.0,238.39999389648438,250.9499969482422,112731,0,0
2021-09-03,251.89999389648438,258.0,249.0,250.0500030517578,71346,0,0
2021-09-06,250.9499969482422,252.9499969482422,245.8000030517578,247.89999389648438,36523,0,0
2021-09-07,249.39999389648438,250.1999969482422,244.0,244.8000030517578,26950,0,0
2021-09-08,246.64999389648438,250.1999969482422,245.0,247.85000610351562,29912,0,0
2021-09-09,247.85000610351562,253.0,244.0,245.85000610351562,59405,0,0
2021-09-13,245.10000610351562,257.8999938964844,244.75,252.9499969482422,61417,0,0
2021-09-14,250.5,255.60000610351562,249.25,251.9499969482422,35074,0,0
2021-09-15,252.9499969482422,268.95001220703125,252.0,266.3500061035156,254740,0,0
2021-09-16,267.8999938964844,267.8999938964844,255.5,260.1000061035156,142184,0,0
2021-09-17,261.79998779296875,263.5,252.0,257.6499938964844,78617,0,0
