Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,310.20001220703125,329.8500061035156,292.1000061035156,327.6499938964844,526220,0,0
2021-08-18,328.70001220703125,333.79998779296875,320.45001220703125,328.29998779296875,202275,0,0
2021-08-20,323.8500061035156,324.45001220703125,314.79998779296875,315.1000061035156,126064,0,0
2021-08-23,313.1499938964844,319.75,301.5,310.54998779296875,207980,0,0
2021-08-24,312.1499938964844,317.45001220703125,302.3500061035156,310.70001220703125,253836,0,0
2021-08-25,315.8999938964844,319.45001220703125,304.25,307.1000061035156,135431,0,0
2021-08-26,310.8999938964844,310.8999938964844,303.0,306.1499938964844,117061,0,0
2021-08-27,309.8999938964844,314.0,298.79998779296875,301.0,295034,0,0
2021-08-30,303.0,317.1499938964844,303.0,312.25,508771,0,0
2021-08-31,312.25,335.8999938964844,311.25,334.45001220703125,1126726,0,0
2021-09-01,334.45001220703125,385.0,330.04998779296875,359.75,5329061,0,0
2021-09-02,354.0,374.75,348.5,370.75,1864216,0,0
2021-09-03,371.6499938964844,378.79998779296875,363.20001220703125,370.1499938964844,1209818,0,0
2021-09-06,372.70001220703125,398.45001220703125,372.5,393.70001220703125,3322941,0,0
2021-09-07,392.0,407.70001220703125,381.20001220703125,400.3500061035156,1997481,0,0
2021-09-08,399.0,413.0,393.1000061035156,401.6000061035156,1500582,0,0
2021-09-09,394.0,407.0,393.0,398.25,635238,0,0
2021-09-13,398.25,404.0,394.3999938964844,400.75,435879,0,0
2021-09-14,402.45001220703125,409.8999938964844,400.0,401.29998779296875,430988,0,0
2021-09-15,401.29998779296875,402.45001220703125,391.20001220703125,393.6000061035156,273256,0,0
2021-09-16,394.8999938964844,400.0,385.0,389.95001220703125,361820,0,0
2021-09-17,392.0,404.25,369.6000061035156,374.79998779296875,871240,0,0
