Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,532.9000244140625,549.0,530.0,536.9500122070312,62798,0,0
2021-08-18,539.6500244140625,546.7999877929688,532.4500122070312,536.0499877929688,68643,0,0
2021-08-20,530.0,540.5499877929688,510.0,522.7000122070312,99991,0,0
2021-08-23,524.9000244140625,526.0,496.75,504.8999938964844,120490,0,0
2021-08-24,508.6499938964844,512.0,495.5,504.8999938964844,151143,0,0
2021-08-25,508.79998779296875,530.0,505.54998779296875,519.25,168542,0,0
2021-08-26,523.5,529.7999877929688,515.7000122070312,518.0999755859375,42305,0,0
2021-08-27,510.0,538.7000122070312,510.0,534.2000122070312,125642,0,0
2021-08-30,536.0,548.7000122070312,530.5499877929688,536.4000244140625,103697,0,0
2021-08-31,532.0999755859375,543.2000122070312,528.5999755859375,535.4500122070312,59938,0,0
2021-09-01,541.0,543.7999877929688,524.4000244140625,528.9000244140625,53481,0,0
2021-09-02,530.75,539.9000244140625,525.0499877929688,530.9500122070312,45595,0,0
2021-09-03,534.9500122070312,538.8499755859375,528.6500244140625,532.0,38600,0,0
2021-09-06,529.5999755859375,571.5999755859375,529.5999755859375,566.25,230492,0,0
2021-09-07,572.7000122070312,575.6500244140625,560.0999755859375,567.2000122070312,138853,0,0
2021-09-08,571.7000122070312,584.8499755859375,563.9000244140625,571.2999877929688,171674,0,0
2021-09-09,578.9500122070312,590.0,568.9500122070312,574.2999877929688,158083,0,0
2021-09-13,580.6500244140625,584.8499755859375,572.0,576.25,100321,0,0
2021-09-14,579.0,584.7999877929688,572.0,579.0999755859375,105368,0,0
2021-09-15,585.6500244140625,586.9000244140625,572.0,574.6500244140625,140068,0,0
2021-09-16,575.0,577.0499877929688,554.0,563.3499755859375,86210,0,0
2021-09-17,569.0,573.9000244140625,544.0,569.5999755859375,97661,0,0
