Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,1673.0,1692.5999755859375,1668.5,1685.449951171875,996543,0,0
2021-08-18,1692.0,1692.0,1662.0,1668.75,515413,0,0
2021-08-20,1645.0,1702.3499755859375,1645.0,1677.050048828125,895522,0,0
2021-08-23,1697.5,1700.0,1653.0,1658.5999755859375,620470,0,0
2021-08-24,1670.0,1670.300048828125,1646.050048828125,1648.25,541399,0,0
2021-08-25,1645.0,1678.0,1640.449951171875,1656.9000244140625,645693,0,0
2021-08-26,1654.5999755859375,1668.0,1646.25,1654.4000244140625,335230,0,0
2021-08-27,1655.9000244140625,1667.3499755859375,1650.0999755859375,1655.5999755859375,529815,0,0
2021-08-30,1655.5999755859375,1702.0,1655.5999755859375,1699.1500244140625,753854,0,0
2021-08-31,1706.4000244140625,1710.050048828125,1680.0,1693.300048828125,1586467,0,0
2021-09-01,1696.4000244140625,1718.949951171875,1693.1500244140625,1701.300048828125,621889,0,0
2021-09-02,1709.0,1746.050048828125,1705.0,1725.5999755859375,1073611,0,0
2021-09-03,1730.0,1753.4000244140625,1719.0,1724.5,616300,0,0
2021-09-06,1739.0,1739.0,1700.0,1702.550048828125,453162,0,0
2021-09-07,1702.0,1741.949951171875,1699.800048828125,1731.25,708929,0,0
2021-09-08,1731.6500244140625,1737.800048828125,1700.050048828125,1705.800048828125,571056,0,0
2021-09-09,1700.0,1738.25,1695.3499755859375,1735.5,589555,0,0
2021-09-13,1732.0,1744.5999755859375,1715.0,1723.300048828125,362485,0,0
2021-09-14,1731.949951171875,1737.800048828125,1724.949951171875,1732.949951171875,310843,0,0
2021-09-15,1735.0,1751.800048828125,1727.0,1730.300048828125,452502,0,0
2021-09-16,1732.0,1748.0,1715.0,1716.5,623108,0,0
2021-09-17,1721.0,1735.0,1710.5,1732.550048828125,395997,0,0
