Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,678.0,682.2999877929688,661.7999877929688,665.6500244140625,1295072,0,0
2021-08-18,671.0,681.75,661.0,673.4500122070312,1962740,0,0
2021-08-20,673.4500122070312,673.4500122070312,648.0,649.9000244140625,1384705,0,0
2021-08-23,655.0,662.9000244140625,648.9500122070312,653.2000122070312,1099874,0,0
2021-08-24,653.2000122070312,660.5999755859375,644.0999755859375,648.4000244140625,1395465,0,0
2021-08-25,649.0,653.75,638.0,643.5499877929688,1509816,0,0
2021-08-26,648.7000122070312,664.5999755859375,644.3499755859375,653.0499877929688,2850012,0,0
2021-08-27,656.4500122070312,659.9500122070312,649.4000244140625,653.3499755859375,996004,0,0
2021-08-30,655.0,682.75,655.0,679.9000244140625,2140598,0,0
2021-08-31,682.0,694.0,673.0999755859375,679.5499877929688,2201566,0,0
2021-09-01,680.0499877929688,697.4000244140625,676.25,688.5,2396818,0,0
2021-09-02,690.0,739.75,686.0,735.7000122070312,5136638,0,0
2021-09-03,744.0,745.0,723.5999755859375,727.25,3161373,0,0
2021-09-06,732.7000122070312,741.3499755859375,718.0499877929688,728.7000122070312,1197604,0,0
2021-09-07,735.0,746.2999877929688,718.0499877929688,723.6500244140625,1839589,0,0
2021-09-08,724.0,742.0,718.0,735.8499755859375,2506155,0,0
2021-09-09,729.2000122070312,753.0,726.4500122070312,742.9500122070312,3821406,0,0
2021-09-13,743.0,754.4000244140625,736.5,740.5499877929688,1543777,0,0
2021-09-14,740.0,745.5999755859375,725.5,729.0999755859375,1237271,0,0
2021-09-15,732.4500122070312,736.8499755859375,717.9500122070312,720.0999755859375,1211983,0,0
2021-09-16,724.9500122070312,744.0,719.0,733.0499877929688,2774056,0,0
2021-09-17,738.0,743.7999877929688,693.1500244140625,723.6500244140625,2284382,0,0
