Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,56.900001525878906,56.900001525878906,53.29999923706055,54.04999923706055,33371,0,0
2021-08-18,54.04999923706055,54.20000076293945,52.0,52.400001525878906,36282,0,0
2021-08-20,52.20000076293945,53.5,46.400001525878906,48.849998474121094,76823,0,0
2021-08-23,49.75,58.599998474121094,49.45000076293945,55.5,758491,0,0
2021-08-24,54.5,55.0,50.54999923706055,51.150001525878906,226939,0,0
2021-08-25,51.900001525878906,56.79999923706055,51.900001525878906,53.400001525878906,169914,0,0
2021-08-26,53.5,54.099998474121094,51.400001525878906,52.150001525878906,62476,0,0
2021-08-27,51.849998474121094,55.5,51.849998474121094,53.900001525878906,68395,0,0
2021-08-30,53.25,55.45000076293945,53.25,54.5,31539,0,0
2021-08-31,54.95000076293945,55.0,52.400001525878906,53.099998474121094,36963,0,0
2021-09-01,53.20000076293945,53.900001525878906,52.599998474121094,52.95000076293945,18727,0,0
2021-09-02,52.70000076293945,57.45000076293945,52.099998474121094,55.900001525878906,135367,0,0
2021-09-03,54.5,56.54999923706055,54.099998474121094,54.95000076293945,47137,0,0
2021-09-06,54.95000076293945,55.79999923706055,53.849998474121094,54.04999923706055,37102,0,0
2021-09-07,54.099998474121094,57.349998474121094,52.650001525878906,55.599998474121094,84989,0,0
2021-09-08,55.75,57.5,54.099998474121094,55.79999923706055,61367,0,0
2021-09-09,55.20000076293945,56.20000076293945,54.150001525878906,54.849998474121094,21464,0,0
2021-09-13,55.900001525878906,55.900001525878906,53.150001525878906,53.849998474121094,56153,0,0
2021-09-14,54.25,55.20000076293945,53.95000076293945,54.75,24830,0,0
2021-09-15,55.0,56.599998474121094,54.20000076293945,55.54999923706055,55278,0,0
2021-09-16,55.150001525878906,56.900001525878906,55.099998474121094,56.45000076293945,54659,0,0
2021-09-17,56.900001525878906,57.0,54.0,54.70000076293945,34301,0,0
