Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-18,201.8000030517578,204.35000610351562,195.1999969482422,196.5,798269,0,0
2021-08-20,192.89999389648438,197.35000610351562,182.25,185.60000610351562,736804,0,0
2021-08-23,189.10000610351562,190.5,175.64999389648438,177.9499969482422,846886,0,0
2021-08-24,178.0,188.75,178.0,183.4499969482422,666943,0,0
2021-08-25,185.5,188.0,183.85000610351562,185.75,331820,0,0
2021-08-26,186.0,191.5,185.6999969482422,186.6999969482422,731190,0,0
2021-08-27,186.6999969482422,189.5,185.0,186.14999389648438,430958,0,0
2021-08-30,188.9499969482422,200.5,188.10000610351562,198.0,1082969,0,0
2021-08-31,199.8000030517578,204.9499969482422,191.6999969482422,199.39999389648438,996707,0,0
2021-09-01,196.0,204.39999389648438,195.1999969482422,200.25,1216068,0,0
2021-09-02,200.89999389648438,201.0,196.64999389648438,197.35000610351562,494576,0,0
2021-09-03,199.39999389648438,211.0,194.64999389648438,203.0500030517578,2683738,0,0
2021-09-06,204.0,211.0,200.0500030517578,207.35000610351562,1670950,0,0
2021-09-07,208.85000610351562,209.5,198.0500030517578,200.0500030517578,789650,0,0
2021-09-08,200.10000610351562,204.0500030517578,198.0,199.25,839388,0,0
2021-09-09,198.39999389648438,200.75,195.8000030517578,198.0,503595,0,0
2021-09-13,198.60000610351562,200.75,196.64999389648438,198.0500030517578,756692,0,0
2021-09-14,198.25,205.0,196.5500030517578,197.35000610351562,898558,0,0
2021-09-15,198.0,201.5500030517578,196.64999389648438,197.4499969482422,820597,0,0
2021-09-16,198.64999389648438,199.0,194.39999389648438,196.35000610351562,917219,0,0
2021-09-17,198.0,198.0500030517578,188.64999389648438,189.4499969482422,1282975,0,0
