Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,10.100000381469727,10.199999809265137,9.899999618530273,10.0,28566,0,0
2021-08-18,10.25,10.25,9.5,9.5,124773,0,0
2021-08-20,9.5,9.5,9.050000190734863,9.199999809265137,55644,0,0
2021-08-23,9.449999809265137,9.449999809265137,8.75,8.800000190734863,65902,0,0
2021-08-24,9.0,9.0,8.550000190734863,8.850000381469727,32054,0,0
2021-08-25,9.0,9.25,8.699999809265137,9.25,49331,0,0
2021-08-26,9.550000190734863,9.699999809265137,9.199999809265137,9.699999809265137,39767,0,0
2021-08-27,9.850000381469727,9.850000381469727,9.449999809265137,9.75,16549,0,0
2021-08-30,9.850000381469727,10.100000381469727,9.350000381469727,9.600000381469727,30612,0,0
2021-08-31,9.899999618530273,9.949999809265137,9.300000190734863,9.449999809265137,39061,0,0
2021-09-01,9.699999809265137,9.699999809265137,9.25,9.350000381469727,28142,0,0
2021-09-02,9.350000381469727,9.699999809265137,9.25,9.600000381469727,26571,0,0
2021-09-03,9.800000190734863,9.800000190734863,9.600000381469727,9.649999618530273,14931,0,0
2021-09-06,9.850000381469727,9.850000381469727,9.199999809265137,9.300000190734863,43283,0,0
2021-09-07,9.5,9.5,9.100000381469727,9.199999809265137,21178,0,0
2021-09-08,9.5,9.5,9.25,9.449999809265137,23960,0,0
2021-09-09,9.5,9.800000190734863,9.300000190734863,9.550000190734863,58684,0,0
2021-09-13,9.75,9.75,9.199999809265137,9.449999809265137,37632,0,0
2021-09-14,9.300000190734863,9.600000381469727,9.050000190734863,9.25,89338,0,0
2021-09-15,9.100000381469727,9.5,9.100000381469727,9.300000190734863,66566,0,0
2021-09-16,9.199999809265137,9.600000381469727,9.199999809265137,9.449999809265137,61105,0,0
2021-09-17,9.5,9.5,9.050000190734863,9.149999618530273,71438,0,0
