Ticker,Book Value,EVToEBITDA,PToBV,MarketCap,PToSales,Close
3IINFOTECH.NS,46.694,-78.63,1.8096544,1383,2.1588688,8.45
3MINDIA.NS,1695.799,81.558,14.881422,28428,9.468199,25156.85
3RDROCK.NS,10.467,82.662,6.1717777,145,3.719899,64.6
A2ZINFRA.NS,19.175,-7.058,0.22425035,76,0.18361244,4.3
AARTIDRUGS.NS,98.006,15.844,6.4006286,5848,2.6705413,616.65
AARTIIND.NS,100.523,31.52,9.212319,33569,6.871247,953.75
AARVEEDEN.NS,71.455,3250.807,0.2610034,44,0.12339893,19.3
ABAN.NS,-2882.563,-36.389,22222,250,0.25956732,44.95
ABB.NS,175.552,80.271,10.499453,39111,6.142765,1908.05
ABBOTINDIA.NS,1224.586,45.12,16.724508,43544,9.755538,21004.1
ABFRL.NS,21.177,39.938,10.015583,19885,3.4657226,217.7
ACC.NS,723.193,13.23,3.311495,44972,2.8357615,2429.7
ACCELYA.NS,159.836,21.772,7.9956956,1907,6.569579,1293.1
ACE.NS,46.089,20.27,5.809412,3038,2.0988677,274.4
ADANIENT.NS,156.014,55.339,9.48793,162799,3.474854,1503.2
ADANIPORTS.NS,149.928,20.798,5.116456,156622,10.572809,769.65
ADANIPOWER.NS,33.997,9.806,2.9546723,38742,1.4044169,98.55
ADANITRANS.NS,81.098,56.119,22.446299,200203,19.41942,1916.15
ADFFOODS.NS,136.657,26.537,6.8265805,1867,4.8943725,944.15
ADORWELD.NS,174.681,27.137,3.778316,898,1.7262808,676.05
ADSL.NS,92.917,6.89,0.76250845,359,0.9614314,71.6
ADVANIHOTR.NS,9.264,-178.928,7.9717183,341,11.65231,76.15
AEGISCHEM.NS,55.345,20.748,4.3671513,8483,2.1836314,238.9
AGARIND.NS,191.137,5.728,1.5870816,379,0.32599193,308.2
AGCNET.NS,63.544,8.862,18.81767,3938,0.8079108,1258.65
AHLEAST.NS,628.372,-90.946,0.29146746,211,2.9976325,188.5
AHLUCONT.NS,131.143,11.27,2.9220011,2576,1.1142654,387.7
AHLWEST.NS,33.191,39.059,8.234159,321,1.7886224,276.8
AIAENG.NS,449.989,25.762,4.6617804,19786,6.5062475,2097.1
AIFL.NS,-113.144,-1759.679,22222,3,361.83026,1.55
AJANTPHARM.NS,346.188,18.761,6.3120327,18916,6.3703785,2202.15
AJMERA.NS,199.601,17.533,1.7013943,1215,2.751508,357.45
AKSHOPTFBR.NS,6.321,6.257,1.3842746,142,0.47872823,9
AKZOINDIA.NS,282.892,22.948,7.8162336,10069,3.610123,2198.15
ALANKIT.NS,6.703,13.908,2.3571534,225,1.8911719,16.25
ALCHEM.NS,-282.733,-2.564,22222,4,0.03285998,3.15
ALEMBICLTD.NS,89.454,205.847,1.2995505,2985,36.877464,114.85
ALICON.NS,232.386,12.093,3.5413063,1325,1.3175708,801.9
ALKALI.NS,48.485,15.352,1.4788078,73,1.300805,71.4
ALKEM.NS,616.964,23.112,6.1996326,45733,4.761688,3873.95
ALKYLAMINE.NS,155.287,43.34,25.459955,20187,14.533048,4048.6
ALLCARGO.NS,93.11,9.804,2.5722263,5884,0.49574712,245.75
ALLSEC.NS,174.117,6.736,2.5979657,689,2.4249086,456.65
ALMONDZ.NS,64.426,22222,1.2766584,212,3.4584816,78.55
ALPA.NS,50.641,6.449,1.0465828,111,0.98879385,55.6
ALPHAGEO.NS,413.21,2.568,0.96924084,255,1.1427193,420.6
ALPSINDUS.NS,-162.125,109.824,22222,8,0.029427955,2.3
AMARAJABAT.NS,246.468,10.347,2.9555562,12457,1.5799081,737.35
AMBIKCO.NS,987.249,5.492,1.6244634,918,1.2721297,1610
AMBUJACEM.NS,122.978,12.835,3.4136188,83397,2.9452903,430.2
AMDIND.NS,68.674,5.872,0.40117073,52,0.35487676,28.2
AMRUTANJAN.NS,73.76,24.517,10.126762,2183,5.9911036,737.7
ANANTRAJ.NS,86.088,63.677,0.76084936,1935,6.634336,67.2
ANDHRACEMT.NS,-23.177,-57.156,22222,645,32287.242,22.4
ANDHRSUGAR.NS,478.566,7.034,1.1861478,1542,0.9867272,566.1
ANIKINDS.NS,132.78,12.865,0.13932821,52,0.30631143,19.15
ANKITMETAL.NS,-51.737,-2.158,22222,28,0.06888137,1.9
ANSALAPI.NS,-10.821,-37.69,22222,141,0.16779922,8.95
ANSALHSG.NS,31.748,130.956,0.2047373,38,0.21400645,6.5
ANTGRAPHIC.NS,1.088,-652.377,0.91911757,15,13.260052,0.95
APARINDS.NS,368.239,5.184,1.8307403,2579,0.37341636,670.55
APCOTEXIND.NS,58.907,20.251,6.845536,2090,3.1395166,420.25
APLAPOLLO.NS,67.843,28.246,13.943221,23635,2.3815794,956.15
APLLTD.NS,260.863,12.046,2.9833667,15297,2.8445518,783
APOLLOHOSP.NS,320.097,49.555,15.333634,70573,5.8091164,4880.75
APOLLOTYRE.NS,180.178,7.008,1.240995,14207,0.76148117,221.95
