Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,178.23504280680552,178.68349247186427,173.4017131116807,173.89999389648438,206363,0.0,0
2021-08-18,175.89999389648438,177.0,170.75,172.1999969482422,252336,0.6,0
2021-08-20,167.0,175.39999389648438,165.10000610351562,167.85000610351562,472222,0.0,0
2021-08-23,167.85000610351562,169.5,155.25,159.0500030517578,910259,0.0,0
2021-08-24,159.0,162.8000030517578,156.0,161.9499969482422,550590,0.0,0
2021-08-25,163.0,166.89999389648438,162.9499969482422,163.75,288533,0.0,0
2021-08-26,164.75,168.8000030517578,162.39999389648438,166.4499969482422,388339,0.0,0
2021-08-27,167.0,167.0,163.0,164.75,149238,0.0,0
2021-08-30,165.5,173.0,165.0,170.39999389648438,384619,0.0,0
2021-08-31,170.0500030517578,187.8000030517578,168.3000030517578,182.85000610351562,1611904,0.0,0
2021-09-01,183.0500030517578,185.39999389648438,176.10000610351562,177.0,393007,0.0,0
2021-09-02,176.10000610351562,186.8000030517578,176.10000610351562,184.8000030517578,541572,0.0,0
2021-09-03,184.8000030517578,186.10000610351562,179.3000030517578,180.0500030517578,309832,0.0,0
2021-09-06,181.9499969482422,182.9499969482422,172.0,173.60000610351562,514022,0.0,0
2021-09-07,174.6999969482422,178.0,172.6999969482422,173.85000610351562,252988,0.0,0
2021-09-08,173.85000610351562,177.89999389648438,173.25,174.1999969482422,200722,0.0,0
2021-09-09,175.0,179.3000030517578,172.6999969482422,176.8000030517578,304162,0.0,0
2021-09-13,176.89999389648438,180.14999389648438,176.10000610351562,176.64999389648438,315338,0.0,0
2021-09-14,178.6999969482422,179.6999969482422,177.0500030517578,177.60000610351562,160489,0.0,0
2021-09-15,179.60000610351562,179.60000610351562,176.5,177.1999969482422,149040,0.0,0
2021-09-16,178.0,179.14999389648438,171.0,175.4499969482422,307426,0.0,0
2021-09-17,176.75,184.89999389648438,172.0,181.5500030517578,631410,0.0,0
