Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-18,211.0,216.6999969482422,206.0500030517578,209.75,218317,0,0
2021-08-20,211.0,211.0,199.3000030517578,199.3000030517578,162094,0,0
2021-08-23,200.0500030517578,202.9499969482422,189.35000610351562,189.35000610351562,277241,0,0
2021-08-24,188.0,198.8000030517578,181.60000610351562,195.1999969482422,479984,0,0
2021-08-25,197.8000030517578,197.8000030517578,188.25,188.9499969482422,179148,0,0
2021-08-26,189.0,193.0,182.3000030517578,185.35000610351562,60136,0,0
2021-08-27,185.9499969482422,187.9499969482422,181.64999389648438,185.39999389648438,90514,0,0
2021-08-30,194.64999389648438,194.64999389648438,189.14999389648438,194.0500030517578,523649,0,0
2021-08-31,192.3000030517578,192.3000030517578,186.0,188.5500030517578,154940,0,0
2021-09-01,189.60000610351562,191.0,180.5500030517578,182.6999969482422,139230,0,0
2021-09-02,182.6999969482422,191.8000030517578,182.6999969482422,188.8000030517578,232341,0,0
2021-09-03,194.8000030517578,198.1999969482422,186.0500030517578,198.1999969482422,439870,0,0
2021-09-06,202.0,208.10000610351562,199.0,203.6999969482422,541197,0,0
2021-09-07,205.0,205.35000610351562,193.5500030517578,202.6999969482422,552432,0,0
2021-09-08,206.0,211.35000610351562,202.25,205.75,458877,0,0
2021-09-09,210.0,212.0,203.25,205.89999389648438,224234,0,0
2021-09-13,208.39999389648438,214.89999389648438,202.0,207.9499969482422,341318,0,0
2021-09-14,208.5,213.0,204.4499969482422,206.35000610351562,144685,0,0
2021-09-15,208.85000610351562,209.9499969482422,204.0,205.5500030517578,81622,0,0
2021-09-16,207.8000030517578,208.4499969482422,200.0,200.5500030517578,173468,0,0
2021-09-17,202.9499969482422,202.9499969482422,192.39999389648438,196.85000610351562,152512,0,0
