Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-18,907.9000244140625,934.4000244140625,907.9000244140625,921.5499877929688,1520,0,0
2021-08-20,905.0,940.0,905.0,928.9500122070312,458,0,0
2021-08-23,950.4500122070312,969.9500122070312,916.0,921.1500244140625,7064,0,0
2021-08-24,924.5,960.0,902.2999877929688,920.1500244140625,2662,0,0
2021-08-25,957.5499877929688,958.0,932.0,955.2000122070312,887,0,0
2021-08-26,969.4500122070312,980.0,950.0,973.9500122070312,5383,0,0
2021-08-27,974.4500122070312,978.7000122070312,945.5,967.5,1572,0,0
2021-08-30,977.5,988.3499755859375,950.0499877929688,955.5499877929688,2788,0,0
2021-08-31,975.4500122070312,975.4500122070312,940.5,969.0999755859375,1003,0,0
2021-09-01,965.0,979.0,950.1500244140625,976.5999755859375,778,0,0
2021-09-02,975.0,987.7999877929688,950.1500244140625,950.9500122070312,2230,0,0
2021-09-03,940.0,1036.050048828125,940.0,974.25,1969,0,0
2021-09-06,993.0,993.0,972.0499877929688,985.75,823,0,0
2021-09-07,989.9000244140625,989.9000244140625,965.0,983.0,1305,0,0
2021-09-08,990.0,990.0,921.5499877929688,940.2999877929688,1455,0,0
2021-09-09,950.0,986.0,926.6500244140625,938.25,2137,0,0
2021-09-13,940.0,965.0,925.0999755859375,949.8499755859375,1162,0,0
2021-09-14,956.4000244140625,973.4000244140625,940.5,955.0499877929688,1701,0,0
2021-09-15,956.4000244140625,956.4000244140625,930.0499877929688,947.1500244140625,355,0,0
2021-09-16,947.5999755859375,974.3499755859375,931.5499877929688,953.75,2770,0,0
2021-09-17,937.3499755859375,972.8499755859375,935.4000244140625,957.8499755859375,2510,0,0
