Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-18,189.0,192.4499969482422,186.0,188.0,184958,0,0
2021-08-20,187.0,194.3000030517578,185.10000610351562,189.25,150293,0,0
2021-08-23,191.0,193.0,174.64999389648438,176.60000610351562,163291,0,0
2021-08-24,179.8000030517578,189.64999389648438,175.8000030517578,187.10000610351562,280087,0,0
2021-08-25,188.0,192.3000030517578,185.85000610351562,188.9499969482422,108965,0,0
2021-08-26,190.1999969482422,223.0,188.9499969482422,200.14999389648438,809245,0,0
2021-08-27,201.5500030517578,201.5500030517578,193.5,197.8000030517578,114498,0,0
2021-08-30,199.1999969482422,203.5500030517578,197.85000610351562,198.39999389648438,64863,0,0
2021-08-31,199.8000030517578,207.89999389648438,195.60000610351562,197.5,326199,0,0
2021-09-01,200.0,200.0,194.60000610351562,197.25,134042,0,0
2021-09-02,195.60000610351562,204.1999969482422,195.60000610351562,201.60000610351562,120259,0,0
2021-09-03,202.8000030517578,204.0,196.35000610351562,198.5500030517578,139578,0,0
2021-09-06,198.5500030517578,201.25,196.6999969482422,199.85000610351562,61827,0,0
2021-09-07,201.0,208.85000610351562,200.0500030517578,202.14999389648438,269831,0,0
2021-09-08,202.3000030517578,203.89999389648438,198.0,200.35000610351562,74743,0,0
2021-09-09,200.0,201.5,197.0,198.14999389648438,97674,0,0
2021-09-13,198.89999389648438,200.0,196.0,196.60000610351562,111530,0,0
2021-09-14,197.64999389648438,198.9499969482422,196.0,196.3000030517578,63041,0,0
2021-09-15,198.0,211.6999969482422,196.64999389648438,208.6999969482422,408404,0,0
2021-09-16,208.6999969482422,208.6999969482422,202.1999969482422,202.8000030517578,133360,0,0
2021-09-17,203.5,203.6999969482422,197.0,198.3000030517578,82509,0,0
