Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-18,38.849998474121094,39.400001525878906,37.099998474121094,37.5,9589,0,0
2021-08-20,37.400001525878906,37.400001525878906,35.79999923706055,36.400001525878906,20009,0,0
2021-08-23,36.400001525878906,36.70000076293945,34.650001525878906,35.650001525878906,23108,0,0
2021-08-24,35.900001525878906,35.900001525878906,33.900001525878906,34.79999923706055,19890,0,0
2021-08-25,34.900001525878906,36.5,34.04999923706055,36.5,13477,0,0
2021-08-26,36.900001525878906,37.349998474121094,35.25,37.349998474121094,3453,0,0
2021-08-27,36.25,37.70000076293945,35.5,36.79999923706055,11926,0,0
2021-08-30,37.29999923706055,37.650001525878906,35.599998474121094,37.04999923706055,6042,0,0
2021-08-31,37.400001525878906,37.400001525878906,36.349998474121094,37.20000076293945,2064,0,0
2021-09-01,36.04999923706055,36.54999923706055,35.349998474121094,35.54999923706055,29079,0,0
2021-09-02,35.25,36.45000076293945,34.0,35.79999923706055,22779,0,0
2021-09-03,36.0,37.54999923706055,36.0,37.400001525878906,16388,0,0
2021-09-06,37.5,37.5,35.599998474121094,36.04999923706055,22722,0,0
2021-09-07,36.20000076293945,36.20000076293945,35.099998474121094,35.75,12076,0,0
2021-09-08,35.5,35.5,34.5,35.0,24842,0,0
2021-09-09,35.0,35.0,34.150001525878906,34.79999923706055,5962,0,0
2021-09-13,35.29999923706055,36.0,34.150001525878906,35.400001525878906,63650,0,0
2021-09-14,35.900001525878906,37.150001525878906,35.0,37.150001525878906,39416,0,0
2021-09-15,37.400001525878906,38.900001525878906,37.20000076293945,37.75,39784,0,0
2021-09-16,38.349998474121094,38.849998474121094,36.0,38.20000076293945,11233,0,0
2021-09-17,39.0,39.0,36.75,36.849998474121094,5247,0,0
