Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-18,150.5,151.39999389648438,142.60000610351562,144.5,7603361,0,0
2021-08-20,142.0,147.4499969482422,136.39999389648438,138.10000610351562,8705988,0,0
2021-08-23,140.3000030517578,142.64999389648438,131.60000610351562,135.39999389648438,7009846,0,0
2021-08-24,136.0,142.5,134.0,141.60000610351562,7041250,0,0
2021-08-25,142.0,143.3000030517578,136.10000610351562,137.39999389648438,5204351,0,0
2021-08-26,137.5500030517578,138.3000030517578,133.60000610351562,134.60000610351562,3986680,0,0
2021-08-27,134.39999389648438,139.6999969482422,134.0,135.4499969482422,6510561,0,0
2021-08-30,136.6999969482422,141.5,136.1999969482422,139.39999389648438,6700346,0,0
2021-08-31,139.60000610351562,140.60000610351562,135.5,136.39999389648438,5211033,0,0
2021-09-01,136.89999389648438,146.25,132.1999969482422,144.25,18598969,0,0
2021-09-02,143.9499969482422,149.0,141.89999389648438,145.0500030517578,10261770,0,0
2021-09-03,145.5,151.5,144.1999969482422,145.9499969482422,9860764,0,0
2021-09-06,146.6999969482422,149.25,143.5,146.60000610351562,8641044,0,0
2021-09-07,147.3000030517578,147.39999389648438,142.25,143.5,5023840,0,0
2021-09-08,143.6999969482422,150.5,141.75,148.5,11361503,0,0
2021-09-09,148.14999389648438,148.89999389648438,143.10000610351562,144.0500030517578,6699815,0,0
2021-09-13,143.25,144.6999969482422,139.3000030517578,141.3000030517578,7497561,0,0
2021-09-14,142.25,144.0,137.5500030517578,139.8000030517578,8930014,0,0
2021-09-15,140.14999389648438,142.0,136.60000610351562,137.64999389648438,5176433,0,0
2021-09-16,138.5500030517578,144.25,137.1999969482422,139.85000610351562,8243618,0,0
2021-09-17,141.14999389648438,141.3000030517578,133.0500030517578,134.6999969482422,8003229,0,0
