Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-18,284.5,298.0,278.0,294.54998779296875,77023,0,0
2021-08-20,285.04998779296875,290.0,279.8500061035156,283.04998779296875,146135,0,0
2021-08-23,283.0,283.0,268.8999938964844,280.3500061035156,132488,0,0
2021-08-24,276.04998779296875,290.3999938964844,272.3999938964844,287.3999938964844,115817,0,0
2021-08-25,290.0,293.0,277.0,279.25,70115,0,0
2021-08-26,279.25,285.0,275.3999938964844,280.5,65653,0,0
2021-08-27,278.0,286.75,275.04998779296875,283.70001220703125,58752,0,0
2021-08-30,283.70001220703125,288.0,278.3999938964844,286.3500061035156,92828,0,0
2021-08-31,286.8999938964844,288.0,277.04998779296875,282.5,48279,0,0
2021-09-01,281.25,284.79998779296875,276.54998779296875,277.79998779296875,31058,0,0
2021-09-02,270.3500061035156,280.3999938964844,270.3500061035156,277.25,48429,0,0
2021-09-03,277.25,284.0,270.0,277.25,62021,0,0
2021-09-06,276.1000061035156,287.8500061035156,275.0,283.8500061035156,87652,0,0
2021-09-07,283.79998779296875,286.3999938964844,272.20001220703125,281.8999938964844,38545,0,0
2021-09-08,283.25,284.8999938964844,276.04998779296875,280.70001220703125,35078,0,0
2021-09-09,280.70001220703125,294.70001220703125,280.0,294.70001220703125,210045,0,0
2021-09-13,300.0,309.3999938964844,298.70001220703125,309.3999938964844,785234,0,0
2021-09-14,317.0,322.8500061035156,304.95001220703125,309.20001220703125,540266,0,0
2021-09-15,310.0,322.20001220703125,303.1000061035156,309.70001220703125,473853,0,0
2021-09-16,311.8999938964844,318.25,294.25,295.20001220703125,19179899,0,0
2021-09-17,298.0,300.5,280.45001220703125,280.5,4004440,0,0
