Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-18,77.0,77.0,73.1500015258789,73.80000305175781,55491,0,0
2021-08-20,73.80000305175781,77.44999694824219,73.80000305175781,77.25,86783,0,0
2021-08-23,74.0,75.75,73.44999694824219,74.0,44273,0,0
2021-08-24,74.0,77.0,72.0999984741211,75.30000305175781,34690,0,0
2021-08-25,73.8499984741211,76.5,72.75,74.8499984741211,56376,0,0
2021-08-26,75.0,76.0,74.0,75.05000305175781,29956,0,0
2021-08-27,76.5,76.5,74.5,75.19999694824219,35311,0,0
2021-08-30,75.5,76.0,73.5,74.19999694824219,59576,0,0
2021-08-31,73.5,75.0,72.80000305175781,74.1500015258789,58136,0,0
2021-09-01,72.80000305175781,74.69999694824219,70.44999694824219,73.0999984741211,107818,0,0
2021-09-02,76.75,76.75,76.75,76.75,66800,0,0
2021-09-03,80.55000305175781,80.55000305175781,80.55000305175781,80.55000305175781,79274,0,0
2021-09-06,84.55000305175781,84.55000305175781,84.55000305175781,84.55000305175781,109373,0,0
2021-09-07,84.9000015258789,88.75,80.3499984741211,83.44999694824219,283032,0,0
2021-09-08,83.9000015258789,83.9000015258789,80.80000305175781,81.6500015258789,57980,0,0
2021-09-09,80.0,82.0,79.30000305175781,80.4000015258789,57212,0,0
2021-09-13,78.80000305175781,84.4000015258789,78.5999984741211,84.4000015258789,176959,0,0
2021-09-14,88.5999984741211,88.5999984741211,88.5999984741211,88.5999984741211,96587,0,0
2021-09-15,93.0,93.0,93.0,93.0,135602,0,0
2021-09-16,97.6500015258789,97.6500015258789,97.6500015258789,97.6500015258789,95007,0,0
2021-09-17,102.5,102.5,100.0,102.5,853358,0,0
