Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-18,74.55000305175781,78.0,74.0,74.0,2548,0,0
2021-08-20,74.0,77.69999694824219,70.44999694824219,73.8499984741211,22069,0,0
2021-08-23,71.0999984741211,77.3499984741211,71.0999984741211,72.5999984741211,14831,0,0
2021-08-24,73.0,73.9000015258789,71.0,72.9000015258789,4140,0,0
2021-08-25,74.0,74.0,71.0,72.19999694824219,44648,0,0
2021-08-26,70.05000305175781,73.0,70.0,70.5999984741211,42688,0,0
2021-08-27,71.94999694824219,71.94999694824219,67.0999984741211,68.05000305175781,57914,0,0
2021-08-30,70.0,70.0,68.0,69.30000305175781,3307,0,0
2021-08-31,68.25,72.75,67.19999694824219,70.94999694824219,39694,0,0
2021-09-01,71.0,72.5,68.19999694824219,70.19999694824219,16617,0,0
2021-09-02,73.19999694824219,73.69999694824219,71.5999984741211,72.55000305175781,20715,0,0
2021-09-03,73.69999694824219,76.1500015258789,70.0,73.6500015258789,30853,0,0
2021-09-06,70.69999694824219,77.30000305175781,70.25,71.94999694824219,48490,0,0
2021-09-07,72.0999984741211,75.19999694824219,68.5,70.4000015258789,32740,0,0
2021-09-08,70.0,73.30000305175781,66.9000015258789,67.9000015258789,19126,0,0
2021-09-09,67.9000015258789,69.9000015258789,64.55000305175781,65.6500015258789,22253,0,0
2021-09-13,65.6500015258789,68.5,62.400001525878906,63.349998474121094,47526,0,0
2021-09-14,63.400001525878906,64.94999694824219,60.349998474121094,62.099998474121094,10827,0,0
2021-09-15,61.5,65.19999694824219,61.0,61.5,39619,0,0
2021-09-16,64.5,64.5,60.599998474121094,63.5,28776,0,0
2021-09-17,63.79999923706055,65.8499984741211,61.150001525878906,61.25,13435,0,0
