Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,22.399999618530273,22.399999618530273,22.399999618530273,22.399999618530273,74093,0,0
2021-08-18,21.299999237060547,21.299999237060547,21.299999237060547,21.299999237060547,105574,0,0
2021-08-20,20.25,20.25,20.25,20.25,57599,0,0
2021-08-23,19.25,20.649999618530273,19.25,19.25,1263050,0,0
2021-08-24,18.299999237060547,19.700000762939453,18.299999237060547,18.350000381469727,3346288,0,0
2021-08-25,18.049999237060547,19.25,18.049999237060547,19.25,1958931,0,0
2021-08-26,20.200000762939453,20.200000762939453,20.200000762939453,20.200000762939453,223594,0,0
2021-08-27,21.200000762939453,21.200000762939453,21.200000762939453,21.200000762939453,363112,0,0
2021-08-30,22.25,22.25,22.25,22.25,290557,0,0
2021-08-31,23.350000381469727,23.350000381469727,23.350000381469727,23.350000381469727,72758,0,0
2021-09-01,24.5,24.5,24.5,24.5,251784,0,0
2021-09-02,25.700000762939453,25.700000762939453,25.700000762939453,25.700000762939453,133537,0,0
2021-09-03,26.950000762939453,26.950000762939453,24.600000381469727,26.950000762939453,7320738,0,0
2021-09-06,27.950000762939453,28.25,27.600000381469727,28.25,1753670,0,0
2021-09-07,29.649999618530273,29.649999618530273,28.25,29.649999618530273,4463822,0,0
2021-09-08,31.100000381469727,31.100000381469727,30.399999618530273,31.100000381469727,1555588,0,0
2021-09-09,32.650001525878906,32.650001525878906,29.549999237060547,29.600000381469727,1399466,0,0
2021-09-13,28.149999618530273,28.899999618530273,28.149999618530273,28.149999618530273,297040,0,0
2021-09-14,26.75,29.549999237060547,26.75,29.549999237060547,1020220,0,0
2021-09-15,29.5,30.799999237060547,28.100000381469727,29.0,734764,0,0
2021-09-16,29.200000762939453,29.549999237060547,27.649999618530273,27.899999618530273,293633,0,0
2021-09-17,27.649999618530273,28.5,26.549999237060547,28.0,992630,0,0
