Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,75.05000305175781,76.0999984741211,72.0,73.55000305175781,41380,0,0
2021-08-18,74.0,74.9000015258789,71.9000015258789,72.55000305175781,28502,0,0
2021-08-20,72.30000305175781,72.30000305175781,68.6500015258789,69.75,39863,0,0
2021-08-23,70.0,74.0,65.75,67.0,56002,0,0
2021-08-24,65.6500015258789,71.9000015258789,65.6500015258789,70.69999694824219,44523,0,0
2021-08-25,71.94999694824219,73.80000305175781,70.1500015258789,72.80000305175781,53690,0,0
2021-08-26,73.44999694824219,73.55000305175781,71.05000305175781,71.6500015258789,10979,0,0
2021-08-27,71.0,82.44999694824219,71.0,77.19999694824219,588836,0,0
2021-08-30,77.69999694824219,78.1500015258789,76.19999694824219,77.30000305175781,60192,0,0
2021-08-31,77.5,82.4000015258789,76.3499984741211,78.8499984741211,222550,0,0
2021-09-01,79.0,79.75,76.3499984741211,77.5999984741211,91201,0,0
2021-09-02,79.4000015258789,79.80000305175781,77.5,77.6500015258789,44144,0,0
2021-09-03,77.0,77.9000015258789,76.0,76.1500015258789,44444,0,0
2021-09-06,75.30000305175781,77.80000305175781,74.80000305175781,75.19999694824219,35071,0,0
2021-09-07,74.25,75.94999694824219,73.8499984741211,74.0999984741211,19030,0,0
2021-09-08,75.5999984741211,75.5999984741211,73.0999984741211,73.55000305175781,26292,0,0
2021-09-09,76.4000015258789,77.1500015258789,72.5999984741211,75.0999984741211,56706,0,0
2021-09-13,75.1500015258789,76.44999694824219,74.19999694824219,76.0999984741211,20109,0,0
2021-09-14,76.94999694824219,76.94999694824219,74.4000015258789,74.80000305175781,19184,0,0
2021-09-15,74.30000305175781,77.0,74.30000305175781,76.3499984741211,43063,0,0
2021-09-16,78.0,78.0,76.0999984741211,76.55000305175781,39333,0,0
2021-09-17,75.0999984741211,77.0,74.4000015258789,75.0,21712,0,0
