Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,490.1499938964844,500.0,490.1499938964844,495.45001220703125,36952,0,0
2021-08-18,498.0,498.75,484.3500061035156,490.3999938964844,25890,0,0
2021-08-20,489.0,492.04998779296875,476.6499938964844,481.20001220703125,63280,0,0
2021-08-23,495.0,495.0,447.5,451.0,96920,0,0
2021-08-24,451.0,475.95001220703125,445.3999938964844,471.8999938964844,56494,0,0
2021-08-25,484.0,484.0,472.1000061035156,480.8999938964844,19300,0,0
2021-08-26,490.0,490.54998779296875,480.6000061035156,486.1000061035156,30950,0,0
2021-08-27,481.0,490.8999938964844,477.95001220703125,481.6000061035156,17007,0,0
2021-08-30,490.0,490.0,482.8500061035156,489.3500061035156,20251,0,0
2021-08-31,494.8999938964844,494.8999938964844,471.0,473.29998779296875,42255,0,0
2021-09-01,470.0,490.0,469.29998779296875,476.20001220703125,38566,0,0
2021-09-02,483.0,489.3999938964844,475.3999938964844,484.8999938964844,28603,0,0
2021-09-03,490.0,492.20001220703125,487.95001220703125,488.5,40321,0,0
2021-09-06,494.70001220703125,494.70001220703125,486.79998779296875,491.1000061035156,40468,0,0
2021-09-07,493.0,493.0,473.6499938964844,481.79998779296875,50134,0,0
2021-09-08,490.0,499.0,477.5,493.45001220703125,112555,0,0
2021-09-09,490.0,504.25,490.0,499.6499938964844,80193,0,0
2021-09-13,509.8999938964844,526.0,505.0,521.5999755859375,145716,0,0
2021-09-14,528.7000122070312,598.0,523.0499877929688,577.5999755859375,598303,0,0
2021-09-15,600.0,602.2000122070312,568.9000244140625,572.25,213527,0,0
2021-09-16,580.0,590.0,572.25,578.5,102737,0,0
2021-09-17,585.7999877929688,585.7999877929688,557.0,564.75,73636,0,0
