Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,78658.796875,79165.046875,77930.1015625,78736.6015625,9035,0,0
2021-08-18,79099.0,79500.0,78900.0,79347.1484375,7011,0,0
2021-08-20,79399.0,79399.0,77805.0,78076.953125,8520,0,0
2021-08-23,78699.0,78699.0,75950.0,76162.8984375,14541,0,0
2021-08-24,76500.0,77401.0,76014.75,77157.953125,12172,0,0
2021-08-25,77239.953125,77980.0,76737.546875,77015.546875,12272,0,0
2021-08-26,77131.0,77265.0,76300.0,76564.546875,8394,0,0
2021-08-27,76650.0,77332.6484375,76564.546875,76953.453125,6617,0,0
2021-08-30,77000.0,78374.953125,77000.0,78185.5,9045,0,0
2021-08-31,78300.0,79855.046875,78257.796875,79742.75,14859,0,0
2021-09-01,80000.0,80559.953125,79239.796875,79954.6484375,10789,0,0
2021-09-02,80393.0,81875.546875,80041.453125,81265.1484375,14947,0,0
2021-09-03,81949.0,82600.1015625,81509.8984375,82397.8515625,15764,0,0
2021-09-06,82700.0,83200.0,81278.75,81404.8515625,10180,0,0
2021-09-07,81785.0,82300.0,80890.046875,81084.703125,11928,0,0
2021-09-08,81380.0,81429.6484375,79810.0,80240.0,9413,0,0
2021-09-09,80300.0,81469.953125,79800.0,79867.8984375,14454,0,0
2021-09-13,79800.0,80407.1015625,79250.0,80243.6015625,7150,0,0
2021-09-14,80230.0,80847.046875,80052.046875,80423.8515625,9958,0,0
2021-09-15,80521.0,80995.0,80116.6484375,80210.1484375,9413,0,0
2021-09-16,80600.0,80600.0,79801.0,79971.703125,6457,0,0
2021-09-17,80000.0,80339.796875,78851.0,79397.25,13253,0,0
