Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,166.33152077563844,166.33152077563844,154.91174472238563,157.6922149658203,173774,0.0,0
2021-08-18,161.86291768849856,163.55105551735758,149.8473208052858,154.4152374267578,149697,0.0,0
2021-08-20,148.95360792005386,150.93965602565456,146.71930380125303,146.96755981445312,87532,0.0,0
2021-08-23,146.71931013185772,151.93268663400494,139.6191939089191,141.90313720703125,91707,0.0,0
2021-08-24,135.39883232126638,146.71930018308444,135.39883232126638,144.2367401123047,72629,0.0,0
2021-08-25,145.18011376226718,145.97453603647202,142.0024398177925,143.0947723388672,29422,0.0,0
2021-08-26,150.24454730674105,150.24454730674105,141.85349680690936,143.69058227539062,27441,0.0,0
2021-08-27,144.9815097130162,144.9815097130162,140.11569798221572,143.1444091796875,58460,0.0,0
2021-08-30,144.0381467665778,145.97454070463974,142.00244435893524,143.69058227539062,25394,0.0,0
2021-08-31,148.35779002879644,148.35779002879644,142.00244204037494,143.39266967773438,23903,0.0,0
2021-09-01,141.15835654188123,145.428362802685,141.15835654188123,142.54859924316406,29794,0.0,0
2021-09-02,142.5486011458191,143.83953540268953,139.122671306222,142.15138244628906,23331,0.0,0
2021-09-03,145.0311601031743,145.0311601031743,139.12267025735005,140.0660400390625,52584,0.0,0
2021-09-06,140.06604188585806,147.06686429903158,139.0233636281779,143.5416259765625,33538,0.0,0
2021-09-07,143.98848975356657,146.86825348769997,140.06604771833491,142.35000610351562,9636,0.0,0
2021-09-08,148.85000610351562,148.85000610351562,142.5,145.0500030517578,16609,1.0,0
2021-09-09,144.25,146.8000030517578,143.14999389648438,145.1999969482422,33871,0.0,0
2021-09-13,145.0,146.5,143.0,144.64999389648438,35014,0.0,0
2021-09-14,146.8000030517578,149.89999389648438,144.0,144.35000610351562,24940,0.0,0
2021-09-15,141.1999969482422,146.0,141.1999969482422,144.5500030517578,17153,0.0,0
2021-09-16,146.0,147.5,143.5,143.89999389648438,24584,0.0,0
2021-09-17,143.0,145.0,141.0,142.9499969482422,36178,0.0,0
