Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,37.5,40.0,37.5,37.5,18292,0,0
2021-08-18,38.95000076293945,38.95000076293945,35.650001525878906,35.650001525878906,11626,0,0
2021-08-20,34.20000076293945,34.20000076293945,33.900001525878906,33.900001525878906,11203,0,0
2021-08-23,33.25,33.900001525878906,32.25,32.25,10114,0,0
2021-08-24,32.25,32.25,30.649999618530273,31.950000762939453,32288,0,0
2021-08-25,33.0,33.5,31.649999618530273,33.5,8107,0,0
2021-08-26,35.099998474121094,35.150001525878906,33.5,35.150001525878906,10499,0,0
2021-08-27,33.54999923706055,36.900001525878906,33.54999923706055,36.79999923706055,11336,0,0
2021-08-30,38.599998474121094,38.599998474121094,37.0,38.25,4766,0,0
2021-08-31,38.650001525878906,39.75,36.349998474121094,36.75,10172,0,0
2021-09-01,35.849998474121094,37.0,34.95000076293945,35.0,8092,0,0
2021-09-02,33.400001525878906,36.70000076293945,33.25,33.400001525878906,15854,0,0
2021-09-03,33.04999923706055,35.0,31.75,32.25,14675,0,0
2021-09-06,32.0,33.79999923706055,32.0,32.70000076293945,7515,0,0
2021-09-07,32.79999923706055,34.29999923706055,32.79999923706055,34.0,3339,0,0
2021-09-08,32.95000076293945,34.849998474121094,32.95000076293945,34.5,2248,0,0
2021-09-09,34.70000076293945,35.5,33.5,33.95000076293945,8016,0,0
2021-09-13,32.349998474121094,35.45000076293945,32.349998474121094,34.5,8252,0,0
2021-09-14,33.150001525878906,35.599998474121094,33.150001525878906,33.70000076293945,7015,0,0
2021-09-15,35.0,35.0,33.650001525878906,34.95000076293945,8631,0,0
2021-09-16,33.5,34.900001525878906,33.5,33.900001525878906,4641,0,0
2021-09-17,34.900001525878906,34.900001525878906,32.5,33.45000076293945,3685,0,0
