Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,172.0,173.1999969482422,166.0,167.5,13589981,0,0
2021-08-18,168.1999969482422,168.5,165.8000030517578,166.9499969482422,8443554,0,0
2021-08-20,161.85000610351562,161.85000610351562,150.3000030517578,151.0,29132391,0,0
2021-08-23,152.60000610351562,154.6999969482422,145.25,146.8000030517578,14983019,0,0
2021-08-24,149.0,155.39999389648438,148.3000030517578,154.75,14609609,0,0
2021-08-25,156.89999389648438,157.89999389648438,153.5500030517578,156.25,11989428,0,0
2021-08-26,155.25,157.4499969482422,147.89999389648438,148.5500030517578,43757434,0,0
2021-08-27,150.5,155.0,150.25,152.1999969482422,30427758,0,0
2021-08-30,154.0,156.0,153.60000610351562,155.5500030517578,14597197,0,0
2021-08-31,156.0,156.75,153.0,154.0500030517578,12714721,0,0
2021-09-01,154.0,154.0,150.0,152.1999969482422,13022242,0,0
2021-09-02,151.89999389648438,154.25,151.0500030517578,153.3000030517578,8038319,0,0
2021-09-03,152.8000030517578,156.75,152.8000030517578,154.60000610351562,9312192,0,0
2021-09-06,154.0,155.89999389648438,151.3000030517578,153.64999389648438,11129362,0,0
2021-09-07,153.5,154.6999969482422,151.0,151.35000610351562,7429559,0,0
2021-09-08,152.39999389648438,152.89999389648438,150.9499969482422,152.25,5531744,0,0
2021-09-09,152.0,153.3000030517578,151.3000030517578,152.0,5629258,0,0
2021-09-13,152.0,152.64999389648438,150.1999969482422,151.5500030517578,5501523,0,0
2021-09-14,152.10000610351562,153.6999969482422,151.10000610351562,151.89999389648438,7857856,0,0
2021-09-15,152.10000610351562,154.5,151.60000610351562,154.25,7901117,0,0
2021-09-16,154.0,154.6999969482422,151.6999969482422,152.10000610351562,6898371,0,0
2021-09-17,152.0,152.10000610351562,146.0500030517578,147.39999389648438,20729611,0,0
