Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-18,5.400000095367432,5.650000095367432,5.400000095367432,5.400000095367432,143777,0,0
2021-08-20,5.150000095367432,5.5,5.150000095367432,5.199999809265137,247283,0,0
2021-08-23,5.0,5.199999809265137,4.949999809265137,4.949999809265137,67859,0,0
2021-08-24,4.75,5.150000095367432,4.75,5.050000190734863,168182,0,0
2021-08-25,5.150000095367432,5.300000190734863,4.949999809265137,5.300000190734863,98074,0,0
2021-08-26,5.5,5.5,5.099999904632568,5.099999904632568,62017,0,0
2021-08-27,5.0,5.25,4.900000095367432,5.050000190734863,78721,0,0
2021-08-30,5.150000095367432,5.25,4.849999904632568,5.0,148224,0,0
2021-08-31,5.150000095367432,5.199999809265137,4.75,4.800000190734863,113323,0,0
2021-09-01,4.75,4.949999809265137,4.599999904632568,4.800000190734863,54871,0,0
2021-09-02,4.650000095367432,4.849999904632568,4.599999904632568,4.75,133875,0,0
2021-09-03,4.849999904632568,4.949999809265137,4.650000095367432,4.800000190734863,103917,0,0
2021-09-06,4.650000095367432,4.949999809265137,4.599999904632568,4.650000095367432,163324,0,0
2021-09-07,4.599999904632568,4.800000190734863,4.550000190734863,4.599999904632568,150166,0,0
2021-09-08,4.75,4.800000190734863,4.550000190734863,4.800000190734863,99021,0,0
2021-09-09,4.900000095367432,4.900000095367432,4.599999904632568,4.699999809265137,86362,0,0
2021-09-13,4.800000190734863,4.849999904632568,4.550000190734863,4.699999809265137,111984,0,0
2021-09-14,4.75,4.800000190734863,4.550000190734863,4.599999904632568,119302,0,0
2021-09-15,4.599999904632568,4.699999809265137,4.5,4.650000095367432,190948,0,0
2021-09-16,4.699999809265137,4.75,4.550000190734863,4.699999809265137,101332,0,0
2021-09-17,4.75,4.900000095367432,4.5,4.5,264978,0,0
