Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-18,19.850000381469727,20.5,19.5,19.649999618530273,87096,0,0
2021-08-20,19.0,19.649999618530273,17.0,18.700000762939453,299624,0,0
2021-08-23,19.200000762939453,19.5,18.200000762939453,18.399999618530273,82664,0,0
2021-08-24,18.450000762939453,20.600000381469727,18.200000762939453,19.950000762939453,198229,0,0
2021-08-25,20.0,20.450000762939453,19.549999237060547,19.75,88871,0,0
2021-08-26,19.75,20.299999237060547,19.5,19.549999237060547,76759,0,0
2021-08-27,19.549999237060547,19.75,18.5,18.899999618530273,67972,0,0
2021-08-30,18.950000762939453,20.450000762939453,18.950000762939453,19.850000381469727,151819,0,0
2021-08-31,20.899999618530273,20.899999618530273,19.600000381469727,19.799999237060547,57586,0,0
2021-09-01,20.0,20.700000762939453,19.649999618530273,20.049999237060547,143487,0,0
2021-09-02,20.100000381469727,20.399999618530273,19.700000762939453,19.799999237060547,136599,0,0
2021-09-03,20.25,20.25,19.549999237060547,19.600000381469727,64911,0,0
2021-09-06,19.700000762939453,19.950000762939453,19.149999618530273,19.549999237060547,106101,0,0
2021-09-07,19.5,19.75,19.149999618530273,19.450000762939453,38300,0,0
2021-09-08,19.75,19.75,18.899999618530273,19.049999237060547,262661,0,0
2021-09-09,19.100000381469727,19.399999618530273,19.0,19.149999618530273,78472,0,0
2021-09-13,19.149999618530273,19.5,18.950000762939453,19.200000762939453,61637,0,0
2021-09-14,19.25,19.5,18.0,18.950000762939453,170845,0,0
2021-09-15,18.700000762939453,19.350000381469727,18.700000762939453,19.049999237060547,102356,0,0
2021-09-16,19.0,19.299999237060547,19.0,19.049999237060547,49833,0,0
2021-09-17,19.049999237060547,19.200000762939453,18.200000762939453,18.700000762939453,107715,0,0
