Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-18,947.3499755859375,984.7999877929688,940.0499877929688,950.9500122070312,12580,0,0
2021-08-20,915.0,950.0,915.0,933.1500244140625,4973,0,0
2021-08-23,935.0,968.7999877929688,880.0499877929688,888.0499877929688,13621,0,0
2021-08-24,888.0499877929688,902.0,884.0499877929688,895.3499755859375,4411,0,0
2021-08-25,917.0,929.8499755859375,894.0499877929688,903.4500122070312,5186,0,0
2021-08-26,914.0,917.2999877929688,890.0,896.4000244140625,2655,0,0
2021-08-27,897.4500122070312,908.0,884.2000122070312,895.25,3776,0,0
2021-08-30,897.4500122070312,909.9000244140625,880.2999877929688,889.0,9091,0,0
2021-08-31,902.7999877929688,942.1500244140625,881.5999755859375,922.7000122070312,16154,0,0
2021-09-01,924.9500122070312,928.0,900.0,909.75,4890,0,0
2021-09-02,917.0,928.4500122070312,904.5499877929688,917.4500122070312,5359,0,0
2021-09-03,918.4000244140625,947.0,915.0,921.6500244140625,11027,0,0
2021-09-06,908.0,947.0,908.0,931.75,5400,0,0
2021-09-07,934.9500122070312,950.0,925.0,926.25,3469,0,0
2021-09-08,927.4500122070312,930.7000122070312,913.0,916.75,2958,0,0
2021-09-09,917.4500122070312,929.0,900.0499877929688,919.3499755859375,1926,0,0
2021-09-13,919.9500122070312,959.0,914.0999755859375,916.5,5173,0,0
2021-09-14,919.9500122070312,967.9500122070312,919.9500122070312,941.0499877929688,36620,0,0
2021-09-15,941.0499877929688,952.0,931.2000122070312,936.5,5690,0,0
2021-09-16,944.0,949.7999877929688,922.0,932.0499877929688,6191,0,0
2021-09-17,934.9500122070312,944.9500122070312,917.9000244140625,923.4000244140625,6464,0,0
