Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,934.0,935.0,915.0,925.7000122070312,118136,0,0
2021-08-18,925.7000122070312,932.5,876.0,891.2999877929688,215575,0,0
2021-08-20,881.0,905.0,862.0999755859375,870.5999755859375,76106,0,0
2021-08-23,880.0,903.9500122070312,840.3499755859375,865.1500244140625,132111,0,0
2021-08-24,860.0,904.7000122070312,855.7999877929688,898.3499755859375,67431,0,0
2021-08-25,900.0,920.0,898.6500244140625,917.6500244140625,72384,0,0
2021-08-26,929.8499755859375,934.3499755859375,916.0,929.1500244140625,82821,0,0
2021-08-27,934.0,938.9000244140625,920.0,933.0,85689,0,0
2021-08-30,966.0999755859375,1043.300048828125,952.6500244140625,1026.4000244140625,542107,0,0
2021-08-31,1030.0,1039.0,978.0,989.9500122070312,236075,0,0
2021-09-01,1007.0,1007.0,969.5,975.5,147040,0,0
2021-09-02,980.2999877929688,983.0,966.0,968.25,118292,0,0
2021-09-03,1000.0,1010.0,974.5499877929688,979.6500244140625,134443,0,0
2021-09-06,979.6500244140625,995.0,965.6500244140625,981.2000122070312,104658,0,0
2021-09-07,982.0,993.0999755859375,972.3499755859375,977.0,88158,0,0
2021-09-08,980.0,1023.7000122070312,980.0,994.1500244140625,206888,0,0
2021-09-09,995.0499877929688,1006.0999755859375,986.0,991.4500122070312,83196,0,0
2021-09-13,987.0999755859375,1013.2000122070312,987.0999755859375,992.9000244140625,56380,0,0
2021-09-14,1000.0,1035.0,1000.0,1018.5,163915,0,0
2021-09-15,1034.0,1062.0,1021.0,1045.800048828125,159125,0,0
2021-09-16,1077.0,1077.0,1037.0,1039.949951171875,72892,0,0
2021-09-17,1049.699951171875,1056.9000244140625,1015.0,1046.5,90028,0,0
