Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,384.20001220703125,388.95001220703125,374.8999938964844,380.8999938964844,34773,0,0
2021-08-18,377.0,379.95001220703125,371.5,374.04998779296875,27812,0,0
2021-08-20,371.0,377.3999938964844,360.0,360.75,40350,0,0
2021-08-23,361.0,366.95001220703125,329.1000061035156,337.1000061035156,79168,0,0
2021-08-24,344.79998779296875,367.6499938964844,332.20001220703125,363.1499938964844,59158,0,0
2021-08-25,365.75,373.8500061035156,360.3999938964844,363.8500061035156,35616,0,0
2021-08-26,360.0,366.25,357.20001220703125,361.54998779296875,17345,0,0
2021-08-27,356.20001220703125,362.0,350.3500061035156,353.29998779296875,28541,0,0
2021-08-30,354.0,376.6499938964844,353.54998779296875,366.29998779296875,71775,0,0
2021-08-31,374.8999938964844,377.29998779296875,363.1000061035156,366.6000061035156,75698,0,0
2021-09-01,369.0,370.0,357.25,362.04998779296875,40416,0,0
2021-09-02,358.0,369.3500061035156,358.0,360.70001220703125,40346,0,0
2021-09-03,368.0,370.0,360.20001220703125,362.3999938964844,44138,0,0
2021-09-06,367.45001220703125,409.8999938964844,364.1000061035156,400.8500061035156,433352,0,0
2021-09-07,401.0,403.25,376.04998779296875,385.5,159140,0,0
2021-09-08,390.70001220703125,410.0,388.0,394.54998779296875,339873,0,0
2021-09-09,394.5,394.54998779296875,386.5,387.45001220703125,74185,0,0
2021-09-13,390.0,390.8500061035156,383.1000061035156,386.1499938964844,46449,0,0
2021-09-14,386.1499938964844,393.04998779296875,383.29998779296875,384.95001220703125,47007,0,0
2021-09-15,383.0,387.3999938964844,378.1499938964844,379.3500061035156,44791,0,0
2021-09-16,381.79998779296875,397.79998779296875,381.25,382.1499938964844,72102,0,0
2021-09-17,384.0,385.04998779296875,371.70001220703125,377.8500061035156,43156,0,0
