Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,114.0,114.05000305175781,110.5999984741211,110.9000015258789,52712,0,0
2021-08-18,109.19999694824219,112.1500015258789,106.4000015258789,108.1500015258789,14992,0,0
2021-08-20,107.55000305175781,109.44999694824219,104.1500015258789,105.4000015258789,22173,0,0
2021-08-23,109.5999984741211,109.5999984741211,96.05000305175781,98.8499984741211,32279,0,0
2021-08-24,105.0,105.0,97.55000305175781,100.9000015258789,23791,0,0
2021-08-25,102.0,105.4000015258789,100.3499984741211,101.75,19201,0,0
2021-08-26,102.0,102.9000015258789,100.9000015258789,101.3499984741211,12834,0,0
2021-08-27,100.0,107.5,100.0,105.44999694824219,55386,0,0
2021-08-30,105.0,108.5,104.44999694824219,105.8499984741211,20338,0,0
2021-08-31,105.0,105.94999694824219,103.0,103.25,14473,0,0
2021-09-01,101.19999694824219,106.5999984741211,101.19999694824219,103.69999694824219,18498,0,0
2021-09-02,105.5,108.25,104.4000015258789,106.3499984741211,54486,0,0
2021-09-03,107.8499984741211,107.8499984741211,104.25,104.6500015258789,6552,0,0
2021-09-06,105.0,106.0,104.1500015258789,104.80000305175781,8913,0,0
2021-09-07,105.94999694824219,106.0,102.19999694824219,102.80000305175781,15928,0,0
2021-09-08,102.5,123.3499984741211,102.25,123.3499984741211,814344,0,0
2021-09-09,126.0,131.89999389648438,114.0999984741211,116.55000305175781,577786,0,0
2021-09-13,117.80000305175781,126.0,115.25,120.1500015258789,249361,0,0
2021-09-14,121.1500015258789,124.69999694824219,118.44999694824219,120.1500015258789,84949,0,0
2021-09-15,120.0,122.0,116.0999984741211,118.55000305175781,62775,0,0
2021-09-16,119.80000305175781,119.80000305175781,114.9000015258789,115.5999984741211,40927,0,0
2021-09-17,116.69999694824219,116.9000015258789,111.19999694824219,112.0,27844,0,0
