Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,157.33899056623616,159.79818083769877,153.4534729392665,154.43714904785156,202757,0.0,0
2021-08-18,154.97818294434816,159.25716526032315,149.5187772214905,151.58450317382812,164637,0.0,0
2021-08-20,149.07612161312184,152.0763368338959,147.05958252966997,148.0432586669922,142467,0.0,0
2021-08-23,151.8795972523959,151.8795972523959,137.56712074086875,138.3540496826172,171620,0.0,0
2021-08-24,138.35403974165462,145.78079742101363,138.35403974165462,144.10855102539062,175867,0.0,0
2021-08-25,146.5677514444112,148.43673019049052,144.99386354582316,145.7808074951172,159402,0.0,0
2021-08-26,144.94467868100676,146.56773823475757,141.74773137051707,142.58384704589844,149584,0.0,0
2021-08-27,143.32161527624166,145.14142219855034,142.63304495769765,143.9610137939453,38180,0.0,0
2021-08-30,146.56774576764312,151.38775287960905,146.07590769459733,147.64979553222656,209499,0.0,0
2021-08-31,148.7318220081547,148.7318220081547,144.60038542648212,145.28895568847656,83780,0.0,0
2021-09-01,145.58407441315828,150.15816263914823,145.58407441315828,148.4859161376953,114044,0.0,0
2021-09-02,149.42039317093202,151.43693217227002,147.05957654137433,147.50222778320312,159890,0.0,0
2021-09-03,148.2891729736497,150.5024442120624,146.5677397882176,147.1087646484375,119548,0.0,0
2021-09-06,147.05958306611964,149.27285438316827,143.22325212045138,145.4365234375,107097,0.0,0
2021-09-07,147.25631928533383,147.40387971629568,143.46917504596098,144.15774536132812,63725,0.0,0
2021-09-08,144.6003869363979,150.01060549524274,144.50201332235463,147.3054962158203,218081,0.0,0
2021-09-09,148.43672978470764,151.53531876226208,146.56775104373756,148.38755798339844,230134,0.0,0
2021-09-13,149.32204550725228,149.32204550725228,145.87917891457383,146.46937561035156,90575,0.0,0
2021-09-14,147.40387680192293,150.30571843698002,146.86285191850726,149.96142578125,143950,0.0,0
2021-09-15,149.9122367960908,154.14204717362193,149.8630649971632,150.64999389648438,175772,0.0,0
2021-09-16,151.0,152.85000610351562,149.5,150.25,162413,2.5,0
2021-09-17,150.3000030517578,151.4499969482422,146.60000610351562,147.60000610351562,88793,0.0,0
