Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,1764.5,1772.0999755859375,1725.0,1739.25,14758,0,0
2021-08-18,1739.25,1762.0,1739.199951171875,1742.300048828125,14478,0,0
2021-08-20,1740.0,1740.050048828125,1690.0,1696.949951171875,24625,0,0
2021-08-23,1699.0,1713.1500244140625,1626.0,1641.3499755859375,23141,0,0
2021-08-24,1642.0,1689.300048828125,1616.0,1665.0,14667,0,0
2021-08-25,1670.0,1674.300048828125,1652.0,1660.75,7973,0,0
2021-08-26,1655.199951171875,1669.0999755859375,1650.0,1659.8499755859375,3745,0,0
2021-08-27,1678.9000244140625,1678.9000244140625,1635.0999755859375,1642.550048828125,11640,0,0
2021-08-30,1685.0,1685.0,1650.0,1670.199951171875,10936,0,0
2021-08-31,1671.0,1685.0,1660.199951171875,1672.5999755859375,12838,0,0
2021-09-01,1676.0,1676.0,1650.0,1658.4000244140625,12597,0,0
2021-09-02,1653.0,1673.0,1643.449951171875,1657.4000244140625,21683,0,0
2021-09-03,1675.0,1675.0,1656.699951171875,1660.699951171875,11905,0,0
2021-09-06,1660.699951171875,1665.199951171875,1647.0,1649.6500244140625,8862,0,0
2021-09-07,1669.0,1712.0,1654.0,1701.9000244140625,19476,0,0
2021-09-08,1718.9000244140625,1750.0,1702.550048828125,1724.0999755859375,15066,0,0
2021-09-09,1730.800048828125,1732.0,1680.0,1707.3499755859375,10407,0,0
2021-09-13,1707.3499755859375,1714.300048828125,1683.0,1685.550048828125,13116,0,0
2021-09-14,1702.0,1702.0,1677.6500244140625,1679.8499755859375,6825,0,0
2021-09-15,1680.0,1688.25,1675.0,1680.449951171875,8793,0,0
2021-09-16,1680.0,1688.0,1655.5,1664.3499755859375,12030,0,0
2021-09-17,1672.699951171875,1684.199951171875,1628.0,1634.550048828125,18642,0,0
