Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,874.4000244140625,886.9000244140625,858.5499877929688,865.3499755859375,2826322,0,0
2021-08-18,870.0,873.0,855.0499877929688,859.5499877929688,1790409,0,0
2021-08-20,854.0,865.0,831.0499877929688,839.3499755859375,1839507,0,0
2021-08-23,845.0,853.0,814.5,822.25,2025363,0,0
2021-08-24,826.0,837.9000244140625,821.2000122070312,829.8499755859375,1759753,0,0
2021-08-25,833.5,836.0,820.0,822.0999755859375,1298473,0,0
2021-08-26,818.0999755859375,834.4500122070312,818.0999755859375,826.5999755859375,2292653,0,0
2021-08-27,830.5,842.3499755859375,825.9000244140625,829.0,2867557,0,0
2021-08-30,833.6500244140625,840.0,832.0,834.4000244140625,1552884,0,0
2021-08-31,837.9000244140625,860.7999877929688,836.6500244140625,844.6500244140625,4538227,0,0
2021-09-01,848.75,853.9000244140625,834.0,840.7000122070312,1752608,0,0
2021-09-02,843.6500244140625,853.25,841.0499877929688,846.5,1487639,0,0
2021-09-03,850.0,853.9000244140625,835.0,841.0,1532492,0,0
2021-09-06,843.0,846.4000244140625,836.25,839.2000122070312,864668,0,0
2021-09-07,842.0,844.0,820.1500244140625,823.0499877929688,1359443,0,0
2021-09-08,825.0,835.5,813.25,832.2999877929688,1726690,0,0
2021-09-09,834.7999877929688,834.7999877929688,821.2999877929688,829.25,831574,0,0
2021-09-13,829.0,842.7000122070312,827.1500244140625,837.2999877929688,1639671,0,0
2021-09-14,839.0,842.7999877929688,830.9000244140625,835.75,819659,0,0
2021-09-15,836.0,862.0,835.9000244140625,858.7999877929688,3384102,0,0
2021-09-16,865.0999755859375,879.75,863.5499877929688,865.4000244140625,4899479,0,0
2021-09-17,868.7999877929688,869.8499755859375,840.2999877929688,844.5,2025904,0,0
