Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,426.0,440.8500061035156,426.0,434.29998779296875,25063,0,0
2021-08-18,439.54998779296875,439.54998779296875,432.0,434.6000061035156,16221,0,0
2021-08-20,434.95001220703125,434.95001220703125,405.6000061035156,409.70001220703125,43639,0,0
2021-08-23,410.0,414.8999938964844,390.1000061035156,391.3999938964844,38556,0,0
2021-08-24,389.0,406.3999938964844,388.3500061035156,400.5,39143,0,0
2021-08-25,405.0,413.3999938964844,404.95001220703125,410.6000061035156,17065,0,0
2021-08-26,416.0,417.5,410.6000061035156,415.3500061035156,15249,0,0
2021-08-27,419.0,419.0,394.0,396.04998779296875,60144,0,0
2021-08-30,401.70001220703125,416.6499938964844,397.6499938964844,405.6499938964844,69432,0,0
2021-08-31,409.0,415.0,403.6000061035156,408.6000061035156,53778,0,0
2021-09-01,413.0,417.0,405.0,414.75,26260,0,0
2021-09-02,409.0,415.04998779296875,403.1000061035156,409.5,49453,0,0
2021-09-03,414.0,415.29998779296875,407.0,410.8999938964844,19051,0,0
2021-09-06,417.5,420.0,413.0,414.3500061035156,29809,0,0
2021-09-07,418.0,418.0,405.20001220703125,409.0,12115,0,0
2021-09-08,406.1499938964844,448.0,406.1499938964844,430.0,138778,0,0
2021-09-09,429.8999938964844,435.45001220703125,424.0,431.8500061035156,48659,0,0
2021-09-13,432.0,433.0,425.1499938964844,427.29998779296875,38510,0,0
2021-09-14,429.45001220703125,435.8999938964844,425.54998779296875,433.6000061035156,44118,0,0
2021-09-15,434.04998779296875,441.0,430.0,432.6499938964844,33841,0,0
2021-09-16,438.95001220703125,439.0,425.25,428.0,21991,0,0
2021-09-17,432.95001220703125,432.95001220703125,416.20001220703125,426.0,44016,0,0
