Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,658.0,658.0,618.0,623.9500122070312,9760,0,0
2021-08-18,629.9500122070312,655.0999755859375,629.9500122070312,648.7999877929688,59051,0,0
2021-08-20,649.0,649.0,616.4000244140625,616.7000122070312,32609,0,0
2021-08-23,622.4500122070312,625.9500122070312,585.9000244140625,586.1500244140625,29200,0,0
2021-08-24,584.3499755859375,612.0,574.0499877929688,597.5999755859375,14482,0,0
2021-08-25,603.4500122070312,610.6500244140625,594.9500122070312,601.4500122070312,5681,0,0
2021-08-26,604.4000244140625,605.9500122070312,587.3499755859375,590.2999877929688,6647,0,0
2021-08-27,592.5999755859375,619.7999877929688,589.1500244140625,619.7999877929688,8432,0,0
2021-08-30,637.5,646.2000122070312,620.0,625.9000244140625,10914,0,0
2021-08-31,629.0,657.0,610.0,633.6500244140625,8111,0,0
2021-09-01,634.0,634.0,615.0,616.8499755859375,7160,0,0
2021-09-02,610.0,626.1500244140625,605.7999877929688,610.4000244140625,6239,0,0
2021-09-03,605.7999877929688,619.0,592.0,600.1500244140625,11018,0,0
2021-09-06,609.0,609.0,592.0,593.5999755859375,5849,0,0
2021-09-07,599.0,614.0,592.0,605.75,10352,0,0
2021-09-08,618.0,636.0,605.75,631.25,19070,0,0
2021-09-09,649.0,662.7999877929688,638.4500122070312,662.7999877929688,17956,0,0
2021-09-13,692.5,695.9000244140625,675.0,695.9000244140625,43423,0,0
2021-09-14,728.0,730.6500244140625,700.0,730.6500244140625,91052,0,0
2021-09-15,746.0,767.1500244140625,739.0,767.1500244140625,75295,0,0
2021-09-16,805.5,805.5,728.7999877929688,729.2999877929688,93386,0,0
2021-09-17,743.9000244140625,762.0,700.2000122070312,718.75,38444,0,0
