Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,1981.947829624268,2228.7003344124896,1947.2637426058434,2195.800048828125,206246,0.0,0
2021-08-18,2240.35009765625,2634.949951171875,2205.25,2621.449951171875,789386,20.0,0
2021-08-20,2560.0,2727.699951171875,2512.60009765625,2665.89990234375,373750,0.0,0
2021-08-23,2665.0,2744.699951171875,2505.64990234375,2546.800048828125,95939,0.0,0
2021-08-24,2535.0,2660.0,2465.0,2609.85009765625,58837,0.0,0
2021-08-25,2630.0,2663.64990234375,2521.0,2536.699951171875,24549,0.0,0
2021-08-26,2560.0,2590.050048828125,2486.699951171875,2527.89990234375,10759,0.0,0
2021-08-27,2545.0,2568.0,2500.0,2513.699951171875,6895,0.0,0
2021-08-30,2550.0,2648.0,2532.35009765625,2605.35009765625,20968,0.0,0
2021-08-31,2649.89990234375,2649.89990234375,2560.050048828125,2573.050048828125,10147,0.0,0
2021-09-01,2596.0,2604.699951171875,2445.949951171875,2456.949951171875,36392,0.0,0
2021-09-02,2489.0,2527.0,2411.0,2427.300048828125,32244,0.0,0
2021-09-03,2474.89990234375,2670.0,2447.449951171875,2651.39990234375,69186,0.0,0
2021-09-06,2669.89990234375,2751.449951171875,2621.0,2642.64990234375,37588,0.0,0
2021-09-07,2755.0,2899.0,2750.0,2791.800048828125,241814,0.0,0
2021-09-08,2844.0,2895.0,2763.800048828125,2835.60009765625,70649,0.0,0
2021-09-09,2835.60009765625,2835.60009765625,2740.0,2753.050048828125,18404,0.0,0
2021-09-13,2799.89990234375,2799.89990234375,2717.050048828125,2726.5,12490,0.0,0
2021-09-14,2732.0,2773.75,2635.199951171875,2676.10009765625,18980,0.0,0
2021-09-15,2689.800048828125,2759.35009765625,2656.050048828125,2680.85009765625,12475,0.0,0
2021-09-16,2695.800048828125,2712.75,2601.300048828125,2621.800048828125,16236,0.0,0
2021-09-17,2645.0,2645.0,2566.949951171875,2615.89990234375,20256,0.0,0
