Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,340.5,345.8500061035156,340.5,342.04998779296875,51,0,0
2021-08-18,340.04998779296875,346.29998779296875,340.0,341.8999938964844,416,0,0
2021-08-20,341.8999938964844,343.0,335.1000061035156,336.29998779296875,263,0,0
2021-08-23,335.1000061035156,346.0,335.0,335.0,511,0,0
2021-08-24,339.8500061035156,345.0,335.0,339.8500061035156,925,0,0
2021-08-25,339.95001220703125,339.95001220703125,333.29998779296875,333.95001220703125,317,0,0
2021-08-26,338.8500061035156,338.8500061035156,333.5,336.25,14,0,0
2021-08-27,334.25,340.0,334.0,339.54998779296875,185,0,0
2021-08-30,342.0,344.8500061035156,339.0,343.79998779296875,359,0,0
2021-08-31,343.8500061035156,345.0,340.04998779296875,344.29998779296875,473,0,0
2021-09-01,345.0,347.79998779296875,325.1499938964844,330.3999938964844,1670,0,0
2021-09-02,330.0,340.0,329.8500061035156,330.20001220703125,503,0,0
2021-09-03,330.20001220703125,335.0,320.1000061035156,325.54998779296875,874,0,0
2021-09-06,325.0,332.3999938964844,325.0,326.6499938964844,217,0,0
2021-09-07,321.0,334.0,320.0,331.6499938964844,657,0,0
2021-09-08,331.0,335.0,322.70001220703125,333.45001220703125,677,0,0
2021-09-09,334.95001220703125,336.0,325.04998779296875,328.25,600,0,0
2021-09-13,335.0,335.0,322.0,329.45001220703125,273,0,0
2021-09-14,329.29998779296875,339.0,329.29998779296875,332.1000061035156,896,0,0
2021-09-15,328.0,365.0,326.04998779296875,333.04998779296875,4705,0,0
2021-09-16,339.0,344.8999938964844,325.0,332.1499938964844,1477,0,0
2021-09-17,337.20001220703125,341.5,328.0,332.20001220703125,736,0,0
