Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-18,13.550000190734863,13.550000190734863,12.800000190734863,12.949999809265137,806755,0,0
2021-08-20,12.899999618530273,13.350000381469727,12.350000381469727,12.449999809265137,1014915,0,0
2021-08-23,12.5,12.699999809265137,11.5,11.75,1026552,0,0
2021-08-24,11.550000190734863,12.100000381469727,11.5,11.75,1047712,0,0
2021-08-25,12.0,12.449999809265137,11.899999618530273,12.300000190734863,2582670,0,0
2021-08-26,12.100000381469727,12.5,11.75,11.850000381469727,1129993,0,0
2021-08-27,12.0,12.100000381469727,11.850000381469727,12.0,394556,0,0
2021-08-30,12.199999809265137,12.199999809265137,11.800000190734863,11.949999809265137,925617,0,0
2021-08-31,12.100000381469727,12.300000190734863,11.800000190734863,11.949999809265137,640557,0,0
2021-09-01,12.100000381469727,12.199999809265137,11.699999809265137,11.949999809265137,512259,0,0
2021-09-02,12.050000190734863,12.149999618530273,11.850000381469727,12.0,611183,0,0
2021-09-03,12.100000381469727,13.350000381469727,11.899999618530273,13.100000381469727,3778002,0,0
2021-09-06,13.25,13.399999618530273,12.850000381469727,12.899999618530273,1084065,0,0
2021-09-07,12.75,13.100000381469727,12.649999618530273,12.699999809265137,609508,0,0
2021-09-08,12.600000381469727,12.899999618530273,12.600000381469727,12.699999809265137,2203292,0,0
2021-09-09,12.699999809265137,13.699999809265137,12.25,13.149999618530273,2604778,0,0
2021-09-13,13.199999809265137,13.300000190734863,12.800000190734863,12.949999809265137,1154831,0,0
2021-09-14,13.350000381469727,15.5,13.350000381469727,15.5,17076409,0,0
2021-09-15,16.850000381469727,18.100000381469727,16.149999618530273,16.299999237060547,23022624,0,0
2021-09-16,16.649999618530273,16.649999618530273,15.050000190734863,15.25,4451652,0,0
2021-09-17,15.399999618530273,15.649999618530273,14.550000190734863,15.050000190734863,4361810,0,0
